Transaction Date,Description,Amount
02/15/2026,STARBUCKS STORE #123,-5.75
02/14/2026,WALMART #4567,-89.32
02/13/2026,DIRECT DEPOSIT,2500.00
02/12/2026,NETFLIX.COM,-15.99
02/11/2026,SHELL OIL 123456,-45.67
02/10/2026,KROGER #789,-67.89
02/09/2026,AMAZON.COM,-23.45
02/08/2026,CHEVRON 987654,-52.10
02/07/2026,WHOLE FOODS MKT,-78.90
02/06/2026,UBER TRIP,-12.34
02/05/2026,COSTCO WHSE #123,-156.78
02/04/2026,APPLE.COM/BILL,-9.99
02/03/2026,PANERA BREAD,-18.50
02/02/2026,ATM WITHDRAWAL,-100.00
02/01/2026,TRANSFER FROM SAVINGS,500.00
01/15/2026,RENT PAYMENT,-1200.00
01/14/2026,ELECTRIC BILL,-85.50
01/13/2026,PAYROLL DEPOSIT,2800.00
01/12/2026,GROCERY STORE,-134.67
01/11/2026,GAS STATION,-48.90
01/10/2026,COFFEE SHOP,-12.45
